ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests,other_non_operating_income_expenses
FBIZ,TTM,148938.0,,,,,,,48323.0,8723.0,37795.0,37795.0,4.64,4.64,8142.77,8142.77,,,39600.0,39600.0,,,,,,,3521.0,39600.0,,0.0,,,,,,-8698.0,91917.0,,111900.0,,,,
FBK,TTM,441622.0,,,,,,,132472.0,24938.0,107518.0,107518.0,2.30,2.30,46783.1,46876.41,,,107518.0,107921.44,,,,,,,15876.0,107518.0,,0.0,-497.0,-497.0,-93.56,,,-5225.0,303925.0,,403985.0,,,,
FBLA,TTM,62152.0,,,,,,,1798.0,529.0,1269.0,1269.0,0.07,0.07,17250.0,17250.0,,,1269.0,-4073.08,,,,,,,3557.0,1269.0,,0.0,7569.0,7569.0,2226.92,,,-1545.0,66378.0,7569.0,42136.0,2044.0,,,
FBLG,TTM,,,,11205.0,-11205.0,100.0,-8366.0,-19471.0,,-19471.0,-19471.0,-0.60,-0.60,35719.125,35719.125,-11205.0,11205.0,-19471.0,-20393.0,,10.0,100.0,-19461.0,-18942.0,,519.0,-19471.0,-19864.0,,922.0,922.0,,,,,,,,,,,
FBMS,TTM,275816.0,,,,,,,97601.0,21869.0,75732.0,75732.0,2.41,2.39,31452.47,31620.67,,,75732.0,77283.87,,,,,,,18252.0,75732.0,,0.0,-2000.0,-2000.0,-448.13,,,-3900.0,172309.0,-2006.0,229604.0,3241.0,,,
FBNC,TTM,381767.0,,,,,,,128929.0,26591.0,101721.0,101653.0,2.48,2.48,40921.58,41272.94,,,102338.0,102303.07,,,,,,,18565.0,102338.0,,0.0,44.0,44.0,9.07,,,-18890.0,233759.0,-189.0,307026.0,,,,
FBP,TTM,892063.0,,,,,,,392656.0,81849.0,310807.0,310807.0,1.83,1.83,169742.0,170388.5,,,310807.0,301519.74,,,,,,,27135.0,310807.0,,0.0,11733.0,11733.0,2445.74,,,-54078.0,448843.0,3514.0,738480.0,,,,
FBRX,TTM,,,,37219.0,-37219.0,,337.0,-35758.0,,-35758.0,-35758.0,-0.69,-0.69,44111.11,44111.11,-37219.0,37219.0,-35758.0,-35758.0,,,,-37219.0,-37191.0,,28.0,-35758.0,-37191.0,,,,,,,,,,,,,,
FBYD,TTM,7042.0,722.0,6320.0,21700.0,-15380.0,-1209.0,-273944.0,-290533.0,-307.0,-10548.0,-15603.0,-0.92,-1.36,11504.25,11504.25,-49508.0,22422.0,-10548.0,215713.66,56.0,1265.0,-1209.0,-289268.0,-289205.0,722.0,63.0,-10548.0,-62704.0,0.0,-226501.0,-226501.0,-239.34,,,,,,,,,,
FC,TTM,281065.0,66424.0,214641.0,185023.0,29618.0,-182.0,,25500.0,7242.0,18258.0,18258.0,1.38,1.33,13207.25,13595.5,25682.0,251447.0,18258.0,21076.18,1144.0,1326.0,-182.0,26826.0,36033.0,65627.0,9207.0,18258.0,39969.0,0.0,-3936.0,-3936.0,-1117.82,,,,,,,,,,
FCAP,TTM,42042.0,,,,,,,14086.0,2045.0,12028.0,12028.0,3.60,3.60,3345.52,3345.52,,,12028.0,12028.0,,,,,,,1054.0,12028.0,,0.0,,,,,,-1238.0,26718.0,,33032.0,,,,
