ticker,first_trade_date,long_name,short_name,sector,industry,address,website
ERAS,1626442200,"Erasca, Inc.","Erasca, Inc.",Healthcare,Biotechnology,"3115 Merryfield Row Suite 300 San Diego, CA 92121 United States",https://www.erasca.com
ERIE,812640600,Erie Indemnity Company,Erie Indemnity Company,Financial Services,Insurance Brokers,"100 Erie Insurance Place Erie, PA 16530-0001 United States",https://www.erieinsurance.com
ERII,1215005400,"Energy Recovery, Inc.","Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,"1717 Doolittle Drive San Leandro, CA 94577 United States",https://www.energyrecovery.com
ERNA,683472600,Eterna Therapeutics Inc.,Eterna Therapeutics Inc.,Healthcare,Biotechnology,"1035 Cambridge Street Suite 18A Cambridge, MA 02141 United States",https://eternatx.com
ERO,1508506200,Ero Copper Corp.,Ero Copper Corp.,Basic Materials,Copper,"625 Howe Street Suite 1050 Vancouver, BC V6C 2T6 Canada",https://erocopper.com
ES,99153000,Eversource Energy,Eversource Energy (D/B/A),Utilities,Utilities - Regulated Electric,"300 Cadwell Drive Springfield, MA 01104 United States",https://www.eversource.com
ESAB,1648560600,ESAB Corporation,ESAB Corporation,Industrials,Metal Fabrication,"909 Rose Avenue 8th Floor North Bethesda, MD 20852 United States",https://www.esab.com
ESCA,322151400,"Escalade, Incorporated","Escalade, Incorporated",Consumer Cyclical,Leisure,"817 Maxwell Avenue Evansville, IN 47711 United States",https://www.escaladeinc.com
ESE,654787800,ESCO Technologies Inc.,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,"9900A Clayton Road Saint Louis, MO 63124-1186 United States",https://www.escotechnologies.com
ESEA,1146835800,Euroseas Ltd.,Euroseas Ltd.,Industrials,Marine Shipping,"4 Messogiou & Evropis Street Marousi, 151 24 Greece",https://www.euroseas.gr
ESGL,1649338200,ESGL Holdings Limited,ESGL Holdings Limited,Industrials,Waste Management,"101 Tuas South Avenue 2 Singapore, 637226 Singapore",https://esgl.asia
ESGR,859905000,Enstar Group Limited,Enstar Group Limited,Financial Services,Insurance - Diversified,"A.S. Cooper Building 4th Floor 22 Reid Street Hamilton, HM 11 Bermuda",https://www.enstargroup.com
ESHA,1686749400,ESH Acquisition Corp.,ESH Acquisition Corp.,Financial Services,Shell Companies,"228 Park Ave S Suite 89898 New York, NY 10003-1502 United States",https://www.eshacquisition.com
ESI,1382448600,Element Solutions Inc,Element Solutions Inc.,Basic Materials,Specialty Chemicals,"500 East Broward Boulevard Suite 1860 Fort Lauderdale, FL 33394 United States",https://elementsolutionsinc.com
ESLA,1631626200,"Estrella Immunopharma, Inc.","Estrella Immunopharma, Inc.",Healthcare,Biotechnology,"5858 Horton Street Suite 370 EmeryVille, CA 94608 United States",https://www.estrellabio.com
ESLT,849105000,Elbit Systems Ltd.,Elbit Systems Ltd.,Industrials,Aerospace & Defense,"Advanced Technology Center Haifa, 3100401 Israel",https://www.elbitsystems.com
